25;14;4;8
25;26;26;30
25;30;10;14
25;31;14;17
25;18;24;31
25;25;21;42
25;18;37;37
25;104;22;26
25;25;13;9
25;15;27;18
25;14;33;19
25;19;16;13
24;28;20;19
25;26;22;21
25;21;35;22
24;33;31;26
25;26;23;21
25;23;21;11
26;33;19;26
27;33;33;24
29;36;20;12
30;36;27;27
32;49;16;20
34;70;23;36
35;98;35;19
37;98;28;25
38;100;36;27
40;145;74;27
41;150;46;35
42;177;70;30
44;178;82;47
45;217;84;69
47;229;91;78
48;284;122;82
50;307;123;61
52;321;190;103
53;391;150;94
55;408;193;110
56;510;238;131
58;532;254;152
59;566;314;192
61;642;387;257
62;813;400;268
63;922;545;298
65;905;615;426
66;981;662;430
68;1030;699;499
69;1264;873;530
71;1309;936;616
73;1366;1092;797
74;1596;1145;853
76;1717;1307;939
77;1808;1451;948
79;1908;1517;1141
80;2099;1716;1231
82;2284;2019;1313
83;2291;2002;1620
84;2365;2011;1593
86;2496;2192;1769
87;2457;2231;1884
89;2503;2512;2016
91;2722;2630;2132
92;2678;2619;2213
94;2729;2646;2165
95;2710;2882;2475
97;2785;2718;2317
98;2716;2770;2581
100;2718;2831;2594
101;2505;2826;2394
103;2663;2788;2573
104;2525;2865;2542
105;2544;2886;2554
107;2619;2866;2407
108;2379;2794;2535
110;2554;2776;2491
111;2403;2728;2510
113;2292;2606;2413
114;2444;2643;2364
116;2246;2483;2403
117;2257;2635;2588
119;2315;2468;2373
121;2248;2563;2424
122;2103;2384;2389
124;2118;2417;2187
125;2100;2349;2171
126;2100;2234;2175
128;1904;2177;2081
129;1979;2083;2236
131;1969;2070;2203
133;1776;2043;1910
134;1736;1921;1987
135;1718;1792;1922
137;1569;1652;1735
139;1569;1675;1741
140;1503;1741;1637
142;1387;1549;1648
143;1295;1586;1567
145;1299;1509;1573
146;1323;1560;1443
147;1258;1410;1373
149;1280;1344;1466
150;1242;1388;1349
152;1233;1218;1193
153;1080;1090;1253
155;1175;1157;1227
156;1196;1209;1160
158;1218;1148;1188
160;1124;1110;1188
161;1076;1155;1164
163;1162;1119;1190
164;1183;1104;1276
166;1214;1213;1226
167;1172;1221;1256
168;1106;1102;1218
170;1158;1179;1205
171;1295;1265;1225
173;1213;1159;1212
174;1343;1213;1294
176;1373;1276;1286
177;1403;1304;1381
179;1410;1351;1392
181;1394;1309;1397
182;1630;1276;1481
184;1518;1458;1406
185;1574;1461;1476
187;1580;1469;1483
188;1714;1571;1694
189;1869;1535;1620
191;1775;1585;1655
192;1820;1647;1805
194;1910;1798;1844
196;1925;1732;1934
197;1872;1789;1866
198;1994;1803;2040
200;2184;1996;2084
201;2157;2006;2034
203;2166;2054;2279
205;2262;2172;2337
206;2539;2059;2230
208;2412;2315;2366
209;2536;2380;2448
210;2497;2420;2560
212;2555;2424;2624
213;2738;2426;2777
215;2669;2550;2755
216;2930;2764;2608
218;2903;2825;2986
220;2894;2857;3262
221;3100;2786;3159
223;3063;3084;3081
224;3177;3009;3128
226;3174;2843;3235
227;3344;3069;3169
229;3041;3081;3293
230;3133;3063;3320
231;3210;3169;3485
233;3010;3120;3401
234;2878;3142;3193
236;2884;2990;3462
237;2768;2943;3183
239;2819;2935;3314
241;2780;2816;3139
242;2713;2772;3024
244;2511;2692;3028
245;2423;2518;3029
247;2231;2388;2931
248;2035;2430;2682
250;1955;2140;2707
251;1812;1934;2505
252;1669;1813;2260
254;1553;1813;2362
255;1427;1634;2019
257;1278;1582;1911
258;1258;1322;1827
260;1127;1300;1713
262;897;1150;1582
263;855;1030;1406
265;730;974;1284
266;667;905;1250
268;641;855;1082
269;527;771;859
270;492;655;769
272;400;568;724
273;392;470;595
275;385;405;639
276;391;427;513
278;323;349;473
280;278;312;402
281;222;301;378
282;234;309;358
284;225;238;279
285;216;251;279
287;226;242;259
288;212;218;251
290;195;228;193
291;191;216;233
293;197;234;246
294;211;194;203
296;233;211;202
297;233;175;212
